,body
252,شما از کی مواجب دریافت می کنید...'
253,'سلام فقط کسانی برگ برنده دستشونه که طمع نکنند و الان خریداشون انجام بدن
254,چون بعضی وقت ها کا از محکم کاری عیب می‌کنه 
255,طمع نکنید عادت کنید به ارزون خریدن تا مجبور نشوید گرون تر بخرید 
256,به حرفهای منفی بافت هم گوش ندید 
257,دیگه خرید هرسهمی حتی بدون تحلیل و شانسی مساوی سود فراوان 
258,به امید روزهای خوش برای همه 
259,انشاالله'
260,'ازلحاظ علمی حق باشما دوست عزیز است اما درصورتی که همیشه در یک نماد باشید وهمیشه برای میانگین کم کردن نقد باشید، مثلا کسی که رو قیمت 1600مبلغ 200میلیون نماد بورس خریداری  کرده باید حداقل 600میلیون موجودی داشته باشه که 3پله دیگر میانگین کم کنه متاسفانه این 2سال گذشته اینقدر بورس ضرر ساز بوده که دیگه کسی نقد نداره وریزش هرنماد میشه ضرر اندر ضرر'
261,'تا این نماد بالا نره نمادهای دیگه هم جرات نمیکنند این سهم نماد بورسه هرچی بره بالا بقیه سهمها را هم میکشه بالا چون الگو هست وهمه زیر نظر دارندش به عنوان شاخص امید یا نامیدی بازار گردان ببینم چکار میکنی'
262,'مراقب باشید. بی تعصب هر 4 فراکاب'
263,'خرید هر نوع سهمی سودآور هست 
264,چون ریسک تموم شد 
265,هر نوع خریدی از هر سهمی سهامدارشو رستگار می‌کنه'
266,'به به چه بورسی بشه این بورس تو این هفته اینده'
267,'من به هیچ کس نمیگم وارد این سهم بشه حتی با اینهمه ریزش
268,ما بالا خریدیم از خیلی قبلتر این فراکابیو داریم 
269,فقط نفروشید براش کافیه
270,بزارید بازیگر هرکاری دلش میخواد بکنه...'
271,'حقوقی اول صبح یک ونیم میلیون سهم فروخت اخر وقتم اصلاحش کردن به هشتادو دوهزار سهم بابک من وشمایی مفت نفروشیم کاری درست نمیشه از ۱۵۲۰ نگه داشتیم همینطور'
272,'سهمتون را مفت نفروشید قیمت خودش میکشه بالا .فقط نفروشید تمام'
273,'پله ای /'
274,'اگه حقوقی محترم صبح عجله نمیکرد واسه فروش ،،از ۵مثبت به ۴ منفی برگشت نمیکردنماد با این همه رشد شاخص بورس،،،،حقوقی محترم من در ۱۵۲۰ خرید زدم اگه میخونی ما رو بیچاره کردی ،لطفا واسه فروش اینقد عجله نکن'
275,'تا ارزش معاملات پایین هست ، هیچ امیدی به رشد نماد بورس نداشته باشید .'
276,'پتانسیل تا 970 هست اما اینکه شرایط دیگر فراکاب تاثیر گذار باشد باید با شرایط گروه همراه شد . براستی سلطان فراکاب است اگر در بندش نکنند.'
277,'شنبه صف خرید سنگینی میبنده .... بلاشک'
278,'من که ۷۰۰ تومان هم اضافه کردم و شنبه نظاره گرم'
279,'دوستان سهامدار عزیز به حرفهای این اشخاصی که ادعای علم غیب و پیشگویی دارند گوش ندید همین ها به من می‌گفتند هیچی قابل پیش بینی نیست 
280,فقط به گذشته بازار نگاه کنید که در اوج تا امیدی یکدفعه برگشته
281,بازار فرازونشیب داره نوسان داره و روزهای مثبتش شروع شد'
282,'الان هرسهامداری هر نوع سهمی بخره در آینده سود زیادی می‌کنه 
283,چون دیگه هیچگونه ریسکی وجود ندارد 
284,حتی یک سهامدار آماتورو مبتدی هم با چشم بسته بدون هیچ تحلیلی هرچی خریداری کنه رستگار میشه و سود می‌کنه 
285,چون روزهای سبز شروع شد'
286,'تا ارزش معاملات پایین هست ، هیچ امیدی به رشد نماد بورس نداشته باشید .'
287,'تحلیل فراکاب ها گزاشتم بورس دقیقا بازگشت از عدد مورد نظر شنبه صف خرید هست.'
288,'شنبه صف خرید ...'
289,'بازار خوب و متعادل 
290,بازیگران در حال خرید 
291,سیگنال نیست ولی نسبت ها در تابلوی نماد بورس خوبه 
292,اخبار خوب هفته آینده ...'
293,'بورس تا اخر بهار 1401 نزولیه'
294,'گزارش نه ماهه هم که خوب نبود ،فرابورسم هم که گزارشش خراب بود فقط کالا خوب بوده'
295,'حیف که بازنشسته وبیمارم وگرنه میرفتم تهران و به علت تخلف در روز بازگشایی سهم شکایت میکردم'
296,'۲۵۰ درصد افزایش سرمایه را از سودهای سهامداران که ندادند معلوم نیست در چه راهی خرج کردند چون این یه شرکت تولیدی نیست وخدماتی است الان قیمت سهامش با توجه به مقدار افزایش سرمایه باید حدود ۴۰۰۰ تومان باشه نه سود دادند به سهامداران نه قیمت سهام افزایش پیدا کرد بله به سهامداران زیان ۵۰درصدی هم رساندند'
297,'دوستان اگر سابقه سهم را بررسی کنند متوجه خواهند شد که قیمت بورس همیشه یا بالاتر از فرابورس بوده یا مساوی الان بخاطر تخلف آشکار وخارج از عرف بازار قیمتش نصف فرابورس شده'
298,'تخلف آشکار روز بازگشایی سهم اتفاق افتا د شخصی باید موقع حراج درخواست فروش ۳۰۰۰۰۰۰۰ سهم را میگذاشت توی صف اول نه بعد از بازگشایی'
299,'محدوده 650 خرید میزنیم'
300,'ساختار کندل روزانه برگشتی است تا 1000 . نمیدونم این نوسان ممکن شود یا خیر . اصلاح بیشتر بدون تنفس غیر منطقی است. اگر پرچم نزولی دوم در کار باشد باید نوسان دهد . ریزش در این نماد از نظر من معنایی ندارد.'
301,'لطفاً از دوستان یک نفر بفرماید روز بازگشایی در دامنه نوسان روز بسته شدن بازگشایی می‌شود و یا با دامنه نوسان روز فردا یی اش؟یعنی قیمت بین ۷۸۴۰﷼/۸۹۲۰﷼؟'
302,'خبرها از این که تا ۵۰۰ هم میاد انگار درسته ؟'
303,'سلام . بورس کی باز میشه ؟ به نظرتون باز هم اصلاح داره یا به محض باز شدن خرید کنم دیگه ضرر نمی کنم . من تقریبا حدودای  ۳۵۰۰ بود هم خرید دارم .'
304,'هفتگی .... روزانه روی حمایت است اما چند کندل بالاتر مقاومت اجازه عبور نخواهد داد .تا زمانی که بازیگر فروشنده است باید صبر کرد .'
305,'این همه نمودار گذاشتین دمتون گرم دو دیقه شیب اصلاحو نگاه میکردین متوجه میشدین کجا میخواد بره دو هفته ی پیش همینجوری سر سری نگاش کردم گفتم همون کف قبلیش 600'
306,'حمایت قوی محدوده ۶۵۰ داره'
307,'برای خرید زوده ...کالا و فرابورس هم فرصت خروج'
308,'چیزی به اتمام روند نزولیش نمونده'
309,'خداکنه کلا ببندند ایسهم رو'
310,'داداش چرا وقتی یه چیز نمیدونی اصرار داری بگی ک میدونم،بار اولته مگه سهمت رفته کنفرانس
311,ماده هفده مکرر یک:
312,"- در صورتیکه قیمت پایانی سهم طی 15 روز معاملاتی متوالی در دامنه عادی نوسان قیمت، بیش از 50 درصد افزایش داشته باشد، بورس موظف است در اولین زمان ممکن از لحاظ فنی نماد معاملاتی را متوقف کرده و از ناشر درخواست برگزاری کنفرانس اطلاع رسانی کند. نماد معاملاتی حداکثر 2 روز کاری پس از توقف نماد معاملاتی با محدودیت دامنه نوسان ""بازگشایی خواهد شد."
